total,text,img,nodenum,concat
1.4077,0.0593,0.5007,0.0172,0.0055
0.8721,0.0233,0.8304,0.0045,0.001
0.4164,0.0181,0.3796,0.0048,0.0015
0.6465,0.0715,0.4872,0.007,0.001
0.3453,0.0163,0.3167,0.0035,0.001
0.4171,0.0095,0.399,0.0035,0.001
0.351,0.0199,0.3224,0.0052,0.0013
0.3083,0.0098,0.2938,0.0022,0.0
0.2905,0.01,0.2714,0.001,0.004
0.7119,0.0246,0.6788,0.003,0.001
0.7634,0.143,0.5408,0.0711,0.004
0.2993,0.0144,0.2809,0.0,0.0
0.4186,0.0172,0.3931,0.0059,0.0024
0.4408,0.0111,0.414,0.0059,0.002
0.2848,0.0089,0.2642,0.007,0.0
0.3001,0.0185,0.2678,0.0025,0.001
0.3959,0.0201,0.3673,0.004,0.001
0.3358,0.011,0.3125,0.0075,0.0
0.3149,0.0224,0.2755,0.004,0.001
0.2867,0.0115,0.2661,0.0055,0.0
0.3014,0.0149,0.276,0.0051,0.0014
0.26,0.0075,0.2432,0.004,0.0
0.2717,0.006,0.256,0.004,0.0
0.2602,0.009,0.2407,0.0049,0.001
0.2678,0.013,0.2457,0.003,0.001
0.26,0.011,0.2409,0.004,0.0
0.2559,0.0085,0.2404,0.004,0.0
0.2719,0.0105,0.25,0.0047,0.001
0.2546,0.009,0.2388,0.002,0.0013
0.898,0.0683,0.7665,0.0393,0.0154
0.3032,0.0079,0.286,0.0043,0.0005
0.4862,0.0414,0.415,0.009,0.002
0.6216,0.0096,0.5982,0.0059,0.001
0.4411,0.0176,0.4085,0.0027,0.0003
0.2482,0.0124,0.2268,0.0038,0.0011
0.2551,0.0095,0.2353,0.0039,0.0
0.2417,0.0125,0.2187,0.004,0.001
0.2647,0.0085,0.2491,0.004,0.0
0.2354,0.0075,0.2183,0.0061,0.0005
0.2618,0.0088,0.247,0.002,0.0
0.2441,0.0097,0.228,0.003,0.0
0.3317,0.0269,0.29,0.0052,0.001
0.2466,0.0177,0.2249,0.004,0.0
0.2425,0.009,0.2259,0.0035,0.001
0.265,0.007,0.2483,0.004,0.0027
0.2857,0.0177,0.2609,0.003,0.0
0.2291,0.0119,0.2093,0.004,0.0
0.2365,0.0117,0.2158,0.003,0.001
0.2202,0.007,0.2092,0.002,0.0
0.2554,0.0105,0.2302,0.0104,0.0013
0.2556,0.016,0.2276,0.005,0.001
0.2231,0.009,0.2071,0.003,0.001
0.2331,0.0103,0.2168,0.003,0.0
0.2626,0.0133,0.2433,0.003,0.0
0.3689,0.014,0.3374,0.0055,0.0045
0.4221,0.0167,0.3964,0.005,0.0
0.4832,0.022,0.4541,0.004,0.0
0.2837,0.0111,0.2646,0.004,0.001
0.2805,0.0037,0.2702,0.0032,0.0004
0.2876,0.01,0.2667,0.0084,0.0
0.2751,0.0039,0.2649,0.0042,0.0
0.2676,0.0071,0.2508,0.0052,0.001
0.2656,0.0101,0.25,0.0055,0.0
0.2661,0.0065,0.2526,0.004,0.0
0.3381,0.0155,0.3121,0.005,0.0025
0.2614,0.0106,0.2428,0.003,0.0
0.2782,0.0151,0.2562,0.0032,0.0
0.2589,0.0108,0.2378,0.0028,0.0
0.279,0.0096,0.264,0.0025,0.001
0.2483,0.0054,0.2367,0.003,0.0
0.2687,0.0151,0.2429,0.0047,0.001
0.2182,0.0065,0.2062,0.002,0.0
0.4745,0.0589,0.3183,0.0092,0.005
0.2928,0.0237,0.2688,0.0003,0.0
0.4068,0.0244,0.3457,0.0177,0.007
0.2957,0.013,0.2771,0.002,0.0
0.4204,0.0451,0.3487,0.0035,0.001
0.4884,0.0141,0.4627,0.003,0.0016
0.2828,0.0092,0.2701,0.0,0.0
0.2731,0.0145,0.2491,0.0023,0.0
0.2915,0.0153,0.2656,0.002,0.0012
0.2708,0.0085,0.2563,0.002,0.001
0.2761,0.0087,0.261,0.0034,0.0
0.404,0.0101,0.3879,0.003,0.0
0.27,0.0145,0.2479,0.003,0.0
0.287,0.0085,0.2696,0.0048,0.001
0.2635,0.0105,0.246,0.004,0.0
0.2527,0.0102,0.2374,0.0025,0.0001
0.2682,0.0105,0.2501,0.0035,0.0
0.3017,0.0075,0.2866,0.0045,0.0
0.2932,0.0123,0.2728,0.004,0.0
0.2928,0.0136,0.2702,0.005,0.0
0.3237,0.0183,0.2924,0.0055,0.001
0.4756,0.0296,0.4214,0.0025,0.001
0.2993,0.0187,0.2719,0.003,0.0012
0.2817,0.0153,0.2578,0.003,0.0
0.3271,0.0166,0.2947,0.006,0.0035
0.3172,0.0142,0.2938,0.003,0.001
0.3114,0.0134,0.291,0.003,0.0
0.3042,0.0115,0.2834,0.0046,0.0
0.3645,0.0209,0.3341,0.0045,0.001
0.3932,0.026,0.3523,0.0065,0.001
0.3436,0.0156,0.3189,0.0035,0.001
0.3128,0.0133,0.2905,0.003,0.0
0.3113,0.0157,0.2874,0.0031,0.0
0.2824,0.0127,0.2582,0.0046,0.0005
0.2996,0.0128,0.2795,0.0035,0.0
0.3331,0.0256,0.2875,0.0058,0.002
0.3122,0.0178,0.2811,0.0044,0.002
0.2954,0.0174,0.2631,0.005,0.001
0.2948,0.0115,0.2757,0.0041,0.0005
