total,text,img,nodenum,concat
0.2764,0.018,0.2424,0.003,0.001
0.2115,0.01,0.1944,0.002,0.001
0.2153,0.02,0.1842,0.004,0.0
0.2163,0.011,0.1992,0.003,0.0
0.1757,0.0074,0.1634,0.0023,0.0
0.2078,0.008,0.1928,0.002,0.001
0.2058,0.0084,0.1924,0.002,0.0
0.2424,0.0122,0.2252,0.002,0.0
0.2157,0.01,0.1967,0.004,0.002
0.2491,0.009,0.2326,0.002,0.001
0.1931,0.0103,0.1746,0.0031,0.0
0.2122,0.011,0.1883,0.004,0.0
0.323,0.006,0.3115,0.002,0.0
0.2017,0.0094,0.1857,0.002,0.001
0.3482,0.0115,0.3269,0.004,0.001
0.3192,0.0486,0.2548,0.0089,0.001
0.18,0.0073,0.1674,0.002,0.0
0.2139,0.0093,0.1953,0.005,0.0
0.1976,0.008,0.1845,0.002,0.0
0.2055,0.0082,0.1913,0.002,0.001
0.1771,0.0064,0.1647,0.002,0.001
0.323,0.0165,0.2974,0.003,0.001
0.2023,0.006,0.1892,0.004,0.0
0.2031,0.006,0.1921,0.002,0.0
0.201,0.009,0.1858,0.003,0.0
0.2161,0.007,0.2021,0.004,0.0
0.2097,0.007,0.1977,0.002,0.0
0.1898,0.012,0.1696,0.0021,0.0005
0.1877,0.0065,0.1762,0.002,0.0
0.1866,0.008,0.1716,0.004,0.0
0.196,0.006,0.1851,0.002,0.0
0.214,0.0112,0.1959,0.002,0.001
0.2266,0.013,0.2076,0.002,0.001
0.1824,0.007,0.1703,0.002,0.001
0.2984,0.0085,0.2838,0.002,0.001
0.1905,0.007,0.177,0.003,0.0
0.2371,0.017,0.2107,0.002,0.0
0.2156,0.005,0.2056,0.001,0.001
0.2139,0.0087,0.1962,0.004,0.0
0.209,0.006,0.199,0.001,0.001
0.2299,0.02,0.1978,0.003,0.001
0.1974,0.009,0.1814,0.003,0.0
0.1955,0.0079,0.1825,0.002,0.0
0.2127,0.007,0.1977,0.004,0.0
0.2053,0.005,0.1953,0.002,0.0
0.2167,0.006,0.2047,0.0019,0.0
0.2189,0.011,0.2019,0.002,0.0
0.1877,0.007,0.1747,0.002,0.0
0.2165,0.006,0.2045,0.003,0.0
0.2145,0.0065,0.203,0.002,0.0
0.226,0.016,0.205,0.002,0.0
0.2031,0.007,0.1891,0.002,0.001
0.2081,0.0115,0.1876,0.003,0.0
0.3182,0.007,0.306,0.0022,0.0
0.2146,0.006,0.2045,0.0021,0.0
0.2364,0.017,0.2103,0.0021,0.001
0.2178,0.007,0.2048,0.002,0.001
0.217,0.007,0.205,0.002,0.0
0.2189,0.0121,0.1997,0.003,0.0
0.2136,0.0065,0.2001,0.003,0.0
0.2095,0.007,0.1985,0.002,0.0
0.219,0.013,0.1971,0.003,0.001
0.2103,0.006,0.1973,0.002,0.001
0.2101,0.009,0.1941,0.003,0.0
0.2275,0.008,0.2115,0.003,0.001
0.2239,0.008,0.2092,0.002,0.001
0.2305,0.008,0.2155,0.002,0.001
0.1971,0.009,0.182,0.003,0.0
0.2271,0.014,0.2001,0.004,0.001
0.2101,0.007,0.1971,0.002,0.001
0.2041,0.005,0.1941,0.002,0.0
0.1934,0.01,0.1774,0.002,0.0
0.2122,0.01,0.1952,0.002,0.001
0.1918,0.006,0.1805,0.002,0.0
0.2023,0.0066,0.1917,0.002,0.0
0.2209,0.009,0.2069,0.002,0.0
0.2581,0.011,0.2401,0.002,0.0
0.2201,0.01,0.2021,0.002,0.001
0.2084,0.0095,0.1929,0.002,0.0
0.2014,0.007,0.1894,0.001,0.001
0.2422,0.011,0.2202,0.004,0.001
0.2099,0.008,0.1958,0.003,0.0
0.2153,0.008,0.2003,0.003,0.0
0.2185,0.0095,0.201,0.002,0.001
0.2236,0.009,0.2056,0.002,0.001
0.2209,0.01,0.2029,0.003,0.0
0.2031,0.01,0.1851,0.003,0.0
0.2253,0.015,0.2012,0.002,0.0011
0.2013,0.008,0.1863,0.003,0.0
0.2105,0.0065,0.199,0.002,0.0
0.216,0.009,0.199,0.003,0.0
0.2147,0.009,0.1997,0.002,0.0
0.1923,0.009,0.1781,0.0021,0.0
0.2109,0.0085,0.1954,0.003,0.0
0.2141,0.008,0.1981,0.002,0.001
0.207,0.008,0.193,0.002,0.0
0.2034,0.01,0.1864,0.002,0.001
0.216,0.01,0.2,0.003,0.0
0.23,0.0129,0.206,0.004,0.001
0.2127,0.0145,0.1892,0.003,0.001
0.2159,0.017,0.1909,0.002,0.0
0.2316,0.0103,0.2123,0.003,0.001
0.2482,0.0175,0.2254,0.002,0.0
0.2145,0.01,0.1974,0.002,0.001
0.2156,0.0115,0.194,0.003,0.001
0.2065,0.0081,0.1933,0.002,0.0
0.2164,0.008,0.2014,0.004,0.0
0.2219,0.012,0.205,0.002,0.0
0.2151,0.0119,0.194,0.002,0.001
0.22,0.0129,0.2,0.002,0.001
0.2109,0.009,0.1969,0.0011,0.0009
0.2114,0.0074,0.1978,0.003,0.0
0.2094,0.008,0.1964,0.002,0.0
0.2123,0.006,0.2014,0.002,0.0
0.2075,0.0065,0.197,0.001,0.0
0.2081,0.007,0.197,0.002,0.0
0.197,0.009,0.183,0.002,0.0
0.2081,0.005,0.1971,0.002,0.0
0.2151,0.0085,0.2005,0.002,0.001
0.2004,0.009,0.1864,0.002,0.0
0.219,0.014,0.196,0.003,0.0
0.2286,0.012,0.207,0.003,0.0
0.2125,0.008,0.1975,0.002,0.0
0.2119,0.0075,0.1983,0.0021,0.001
0.216,0.009,0.199,0.002,0.0
