total,text,img,nodenum,concat
0.336,0.022,0.273,0.01,0.003
0.192,0.014,0.172,0.003,0.0
0.269,0.007,0.2559,0.0022,0.001
0.184,0.005,0.173,0.002,0.001
0.179,0.006,0.168,0.002,0.0
0.1773,0.0104,0.1593,0.003,0.0015
0.1718,0.006,0.1608,0.002,0.0
0.168,0.004,0.16,0.002,0.0
0.1835,0.007,0.1725,0.002,0.0
0.182,0.007,0.171,0.002,0.0
0.177,0.009,0.163,0.002,0.0
0.175,0.006,0.1624,0.003,0.0005
0.187,0.008,0.172,0.002,0.001
0.3009,0.009,0.2879,0.002,0.0
0.1811,0.006,0.1711,0.001,0.001
0.3172,0.015,0.2862,0.005,0.001
0.2259,0.007,0.2138,0.001,0.001
0.1989,0.0094,0.1693,0.002,0.0
0.208,0.0102,0.1926,0.0022,0.0
0.1877,0.008,0.1716,0.002,0.0
0.2485,0.01,0.2305,0.003,0.001
0.2148,0.0081,0.1994,0.003,0.0
0.1825,0.007,0.1705,0.002,0.0
0.2134,0.008,0.1884,0.006,0.0
0.2,0.009,0.187,0.002,0.0
0.18,0.006,0.169,0.002,0.001
0.2041,0.006,0.1941,0.002,0.0
0.1743,0.004,0.1653,0.002,0.0
0.187,0.0083,0.1728,0.002,0.001
0.1871,0.008,0.173,0.002,0.001
0.1761,0.005,0.1656,0.0025,0.0
0.167,0.008,0.154,0.003,0.0
0.2421,0.0103,0.2232,0.0031,0.0006
0.2131,0.007,0.1938,0.0084,0.001
0.2233,0.0204,0.1895,0.002,0.001
0.2433,0.0105,0.209,0.0034,0.0
0.2639,0.036,0.1961,0.005,0.002
0.2318,0.008,0.2138,0.004,0.003
0.2139,0.011,0.1966,0.0031,0.0
0.2236,0.009,0.2086,0.002,0.0
0.2695,0.007,0.2485,0.006,0.004
0.2574,0.0179,0.2297,0.003,0.0
0.2258,0.0115,0.1921,0.0025,0.0013
0.2096,0.0101,0.191,0.003,0.0
0.1918,0.004,0.1838,0.002,0.0
0.1954,0.006,0.1833,0.002,0.001
0.2109,0.011,0.1932,0.002,0.0
0.2496,0.012,0.2286,0.003,0.001
0.2022,0.01,0.185,0.002,0.001
0.1962,0.006,0.186,0.002,0.0
0.1834,0.006,0.173,0.0024,0.0
0.2381,0.0112,0.2199,0.003,0.001
0.2001,0.008,0.1881,0.002,0.0
0.1979,0.005,0.1889,0.002,0.0
0.2033,0.007,0.189,0.002,0.0
0.2003,0.008,0.1873,0.002,0.001
0.2188,0.007,0.2047,0.002,0.001
0.19,0.005,0.18,0.002,0.0
