duration_seconds,epoch
0.2495,0
0.1888,0
0.1565,0
0.1784,0
0.1776,0
0.168,0
0.1905,0
0.175,0
0.1661,0
0.163,0
0.1576,0
0.1879,0
0.18,0
0.172,0
0.1735,0
0.176,0
0.151,0
0.1761,0
0.1867,0
0.188,0
0.164,0
0.1875,0
0.1781,0
0.1935,0
0.1932,0
0.1555,0
0.1792,0
0.1648,0
0.1841,0
0.1595,0
0.1792,0
0.1811,0
0.2046,0
0.1822,0
0.174,0
0.1505,0
0.16,0
0.1928,0
0.1857,0
0.1908,0
0.1664,0
0.1732,0
0.172,0
0.1871,0
0.195,0
0.206,0
0.187,0
0.18,0
0.1861,0
0.176,0
0.193,0
0.1903,0
0.187,0
0.184,0
0.1646,0
0.1716,0
0.1776,0
0.1841,0
0.1951,0
0.1832,0
0.1946,0
0.1712,0
0.1862,0
0.1731,0
0.1621,0
0.1902,0
0.1991,0
0.19,0
0.186,0
0.159,0
0.1904,0
0.1626,0
0.1774,0
0.186,0
0.158,0
0.1913,0
0.175,0
0.2,0
0.1855,0
0.216,0
0.2241,0
0.2031,0
0.2045,0
0.2495,0
0.2061,0
0.2079,0
0.1991,0
0.2237,0
0.2075,0
0.198,0
0.2273,0
0.2181,0
0.2181,0
0.22,0
0.2316,0
0.2295,0
0.1991,0
0.206,0
0.232,0
0.214,0
0.2156,0
0.208,0
0.2127,0
0.2463,0
0.2,0
0.2266,0
0.221,0
0.2268,0
0.2493,0
0.2551,0
0.222,0
0.2192,0
0.2408,0
0.2227,0
0.236,0
0.2231,0
0.2201,0
0.19,0
0.21,0
0.274,0
0.2206,0
0.2336,0
0.3118,0
0.2326,0
0.2636,0
0.2365,0
0.2011,0
0.2226,0
0.2037,0
0.1951,0
0.2273,0
0.1786,0
0.22,0
0.1885,0
0.209,0
0.2241,0
0.1521,0
0.196,0
0.186,0
0.1735,0
0.1777,0
0.229,0
0.2133,0
0.1475,0
0.193,1
0.176,1
0.153,1
0.1385,1
0.1375,1
0.1707,1
0.142,1
0.2011,1
0.1625,1
0.1341,1
0.1705,1
0.176,1
0.182,1
0.189,1
0.1425,1
0.164,1
0.151,1
0.2019,1
0.2006,1
0.181,1
0.1605,1
0.165,1
0.178,1
0.1605,1
0.1641,1
0.187,1
0.182,1
0.2021,1
0.2031,1
0.2222,1
0.173,1
0.1792,1
0.2031,1
0.207,1
0.221,1
0.2,1
0.2051,1
0.1791,1
0.19,1
0.1851,1
0.2336,1
0.199,1
0.214,1
0.199,1
0.18,1
0.202,1
0.192,1
0.202,1
0.183,1
0.225,1
0.2113,1
0.1786,1
0.205,1
0.1611,1
0.172,1
0.2171,1
0.166,1
0.19,1
0.1805,1
0.2,1
0.2286,1
0.2229,1
0.17,1
0.209,1
0.168,1
0.208,1
0.2075,1
0.1871,1
0.196,1
0.2051,1
0.217,1
0.16,1
0.2017,1
0.19,1
0.1961,1
0.1911,1
0.201,1
0.192,1
0.2098,1
0.202,1
0.2355,1
0.208,1
0.2116,1
0.187,1
0.1851,1
0.226,1
0.196,1
0.2326,1
0.174,1
0.1885,1
0.172,1
0.175,1
0.1863,1
0.1933,1
0.2161,1
0.243,1
0.2226,1
0.1879,1
0.24,1
0.215,1
0.2101,1
0.1851,1
0.2326,1
0.2089,1
0.1771,1
0.1635,1
0.194,1
0.2424,1
0.1805,1
0.2126,1
0.206,1
0.181,1
0.1775,1
0.1802,1
0.2202,1
0.2085,1
0.1785,1
0.172,1
0.214,1
0.2171,1
0.1995,1
0.191,1
0.197,1
0.1781,1
0.2147,1
0.2146,1
0.223,1
0.1961,1
0.192,1
0.1892,1
0.1705,1
0.192,1
0.2166,1
0.1911,1
0.203,1
0.2006,1
0.1785,1
0.1961,1
0.189,1
0.143,1
0.2211,1
0.1734,1
0.203,1
0.1485,1
0.1985,2
0.1805,2
0.1761,2
0.152,2
0.1555,2
0.1543,2
0.1559,2
0.1601,2
0.1445,2
0.1729,2
0.1651,2
0.1574,2
0.1783,2
0.1794,2
0.1984,2
0.1721,2
0.1545,2
0.1564,2
0.1531,2
0.1502,2
0.1625,2
0.1438,2
0.1823,2
0.1784,2
0.1889,2
0.166,2
0.2046,2
0.2037,2
0.182,2
0.203,2
0.2155,2
0.181,2
0.1861,2
0.211,2
0.188,2
0.227,2
0.1911,2
0.224,2
0.22,2
0.1751,2
0.2297,2
0.2031,2
0.199,2
0.1942,2
0.2093,2
0.2136,2
0.1784,2
0.2313,2
0.1892,2
0.2051,2
0.171,2
0.1929,2
0.2162,2
0.1841,2
0.1735,2
0.1949,2
0.2148,2
0.1854,2
0.1775,2
0.178,2
0.2445,2
0.1805,2
0.159,2
0.1828,2
0.1621,2
0.2138,2
0.194,2
0.2326,2
0.193,2
0.208,2
0.2013,2
0.171,2
0.1681,2
0.2137,2
0.1951,2
