duration_seconds,epoch
0.5984,0
0.3952,0
0.4045,0
0.3937,0
0.3834,0
0.395,0
0.3881,0
0.3784,0
0.4068,0
0.4162,0
0.4189,0
0.3803,0
0.3963,0
0.3849,0
0.3584,0
0.3899,0
0.3817,0
0.3767,0
0.3929,0
0.3965,0
0.3991,0
0.3812,0
0.4112,0
0.372,0
0.3812,0
0.3777,0
0.4019,0
0.3869,0
0.3854,0
0.3791,0
0.3878,0
0.3969,0
0.3817,0
0.3645,0
0.4031,0
0.3893,0
0.3925,0
0.3885,0
0.3788,0
0.3823,0
0.3806,0
0.3862,0
0.4207,0
0.3958,0
0.3998,0
0.3766,0
0.3967,0
0.3887,0
0.3916,0
0.4972,0
0.3842,0
0.3881,0
0.395,0
0.4119,0
0.4423,0
0.3941,0
0.3855,0
0.3941,0
0.3939,0
0.3687,0
0.3614,0
0.3731,0
0.3997,0
0.3607,0
0.3822,0
0.4253,0
0.3789,0
0.3767,0
0.3808,0
0.4124,0
0.3918,0
0.3326,0
0.4714,1
0.4019,1
0.3787,1
0.3838,1
0.3662,1
0.417,1
0.4007,1
0.3827,1
0.3792,1
0.3819,1
0.4226,1
0.3714,1
0.3968,1
0.3823,1
0.3855,1
0.401,1
0.3773,1
0.3863,1
0.3908,1
0.384,1
0.3603,1
0.3978,1
0.3835,1
0.4013,1
0.3778,1
0.4021,1
0.3785,1
0.382,1
0.3655,1
0.3957,1
0.3616,1
0.4136,1
0.3956,1
0.3959,1
0.3871,1
0.3791,1
0.3771,1
0.4058,1
0.3826,1
0.3752,1
0.3806,1
0.3821,1
0.3839,1
0.3777,1
0.3982,1
0.379,1
0.3798,1
0.3947,1
0.4003,1
0.3664,1
0.3877,1
0.38,1
0.3779,1
0.3724,1
0.4859,1
0.4096,1
0.3881,1
0.3806,1
0.3839,1
0.4367,1
0.3721,1
0.3816,1
0.3753,1
0.3783,1
0.3745,1
0.3661,1
0.4496,1
0.4116,1
0.3933,1
0.3952,1
0.3811,1
0.3347,1
0.5041,2
0.3895,2
0.3656,2
0.3777,2
0.3685,2
0.4238,2
0.3781,2
0.378,2
0.3786,2
0.3763,2
0.3893,2
0.4002,2
0.3963,2
0.3761,2
0.3716,2
0.3717,2
0.3766,2
0.3794,2
0.3936,2
0.4254,2
0.401,2
0.4405,2
0.4422,2
0.4118,2
0.4335,2
0.4437,2
0.4288,2
0.4065,2
0.4255,2
0.3952,2
0.4363,2
0.4202,2
0.4175,2
0.3886,2
0.4119,2
0.3855,2
0.4253,2
0.3997,2
0.4274,2
0.3796,2
0.3924,2
0.4229,2
0.416,2
0.4099,2
0.4236,2
0.4097,2
0.4408,2
0.4053,2
0.409,2
0.4183,2
0.4061,2
0.4841,2
0.4353,2
0.4424,2
0.4189,2
0.4117,2
0.4244,2
0.442,2
0.4211,2
0.4479,2
0.44,2
0.4254,2
0.4266,2
0.3946,2
0.3955,2
0.4332,2
0.4008,2
0.4192,2
0.3945,2
0.4125,2
0.3792,2
0.3619,2
0.4886,3
0.3774,3
0.3782,3
0.3914,3
0.416,3
0.3805,3
0.3834,3
0.3663,3
0.4169,3
0.3941,3
0.3792,3
0.3827,3
0.3576,3
0.3681,3
0.4054,3
0.3871,3
0.3741,3
0.4029,3
0.3852,3
0.3798,3
0.4345,3
0.388,3
0.3841,3
0.3819,3
0.3992,3
0.4087,3
0.4428,3
0.5712,3
0.4819,3
0.4386,3
0.4413,3
0.4259,3
0.428,3
0.41,3
0.4025,3
0.4404,3
0.3925,3
0.4109,3
0.4134,3
0.4267,3
0.4405,3
0.4157,3
0.3969,3
0.3872,3
0.4128,3
0.4398,3
0.4142,3
0.417,3
0.3968,3
0.4314,3
0.4427,3
0.4263,3
0.6831,3
0.5269,3
0.4247,3
0.3971,3
0.4096,3
0.3944,3
0.4069,3
0.4124,3
0.4179,3
0.3962,3
0.4165,3
0.4375,3
0.4218,3
0.3929,3
0.391,3
0.4098,3
0.4287,3
0.4176,3
0.4184,3
0.3664,3
0.5031,4
0.4604,4
0.3903,4
0.3981,4
0.3954,4
0.3878,4
0.3797,4
0.3783,4
0.3871,4
0.4213,4
0.3672,4
0.3825,4
0.3975,4
0.4057,4
0.3922,4
0.4369,4
0.3648,4
0.3668,4
0.3953,4
0.3633,4
0.364,4
0.3957,4
0.4164,4
0.4296,4
0.4485,4
0.409,4
0.413,4
0.4277,4
0.4583,4
0.4125,4
0.414,4
0.408,4
0.4034,4
0.4249,4
0.4379,4
0.4284,4
0.4362,4
0.4821,4
0.4537,4
0.4755,4
0.412,4
0.4049,4
0.4141,4
0.411,4
0.4129,4
0.3977,4
0.4138,4
0.3967,4
0.4427,4
0.3966,4
0.427,4
0.4182,4
0.4233,4
0.3947,4
0.398,4
0.4236,4
0.4034,4
0.4323,4
0.4215,4
0.4587,4
0.4217,4
0.4055,4
0.4122,4
0.424,4
0.4284,4
0.4112,4
0.3802,4
0.3962,4
0.4249,4
0.4129,4
0.4103,4
0.3795,4
