total,text,img,nodenum,concat
0.1268,0.0143,0.1025,0.003,0.001
0.0932,0.005,0.0852,0.001,0.0
0.0805,0.002,0.0765,0.0,0.0
0.0835,0.004,0.0765,0.001,0.0
0.09,0.003,0.084,0.001,0.0
0.0795,0.004,0.0725,0.001,0.0
0.0955,0.004,0.0875,0.001,0.001
0.085,0.004,0.078,0.001,0.0
0.0835,0.004,0.0775,0.001,0.0
0.0785,0.004,0.0715,0.001,0.0
0.0916,0.004,0.0856,0.001,0.0
0.0934,0.003,0.0874,0.001,0.0
0.0905,0.006,0.0815,0.001,0.0
0.0955,0.004,0.0885,0.001,0.001
0.1055,0.007,0.0945,0.001,0.0
0.0918,0.003,0.0857,0.0015,0.0
0.0755,0.003,0.0705,0.001,0.0
0.0855,0.003,0.0805,0.001,0.0
0.0957,0.004,0.0887,0.001,0.0
0.0905,0.0035,0.084,0.001,0.0
0.0905,0.003,0.0855,0.001,0.0
0.095,0.004,0.087,0.001,0.001
0.0915,0.004,0.0845,0.001,0.001
0.095,0.004,0.088,0.001,0.001
0.0955,0.005,0.0875,0.001,0.0
0.0905,0.005,0.0825,0.001,0.0
0.0912,0.004,0.0852,0.001,0.0
0.0993,0.0072,0.0881,0.001,0.0
0.0906,0.003,0.0856,0.001,0.0
0.0965,0.003,0.0905,0.0,0.001
0.0834,0.003,0.0772,0.0011,0.0
0.0895,0.003,0.0835,0.001,0.0
0.104,0.006,0.093,0.002,0.0
0.0975,0.005,0.0885,0.001,0.001
0.0875,0.004,0.0805,0.001,0.001
0.076,0.004,0.069,0.001,0.0
0.0765,0.005,0.0685,0.001,0.0
0.0955,0.004,0.0895,0.0,0.001
0.0969,0.003,0.0918,0.001,0.0
0.092,0.0052,0.0825,0.0024,0.0
0.0928,0.003,0.0873,0.001,0.0
0.0957,0.006,0.0857,0.001,0.001
0.0995,0.004,0.0935,0.001,0.0
0.0925,0.003,0.0875,0.001,0.0
0.0925,0.005,0.0845,0.001,0.0
0.1045,0.007,0.0935,0.001,0.0
0.0905,0.003,0.0835,0.002,0.0
0.0955,0.0044,0.089,0.001,0.0
0.0955,0.005,0.0885,0.001,0.0
0.0845,0.003,0.0785,0.001,0.0
0.1005,0.0049,0.0916,0.001,0.001
0.0948,0.006,0.0858,0.001,0.0
0.1025,0.005,0.0935,0.002,0.0
0.0905,0.004,0.0845,0.001,0.0
0.0946,0.004,0.0886,0.001,0.0
0.0876,0.003,0.0825,0.001,0.0
0.0836,0.005,0.0746,0.001,0.0
0.0966,0.004,0.0886,0.002,0.0
0.0925,0.012,0.0715,0.003,0.001
0.0887,0.005,0.0807,0.001,0.0
0.0975,0.004,0.0915,0.001,0.0
0.0967,0.003,0.0917,0.001,0.0
0.0886,0.006,0.0795,0.001,0.0
0.0895,0.004,0.0815,0.002,0.0
0.0725,0.005,0.0655,0.001,0.0
0.1076,0.0081,0.0945,0.002,0.0
0.095,0.004,0.087,0.001,0.001
0.0965,0.004,0.0884,0.0012,0.001
0.0985,0.0035,0.093,0.001,0.0
0.0885,0.004,0.0805,0.001,0.001
0.1009,0.005,0.0919,0.001,0.001
0.0835,0.003,0.0775,0.001,0.0
0.087,0.004,0.08,0.001,0.0
0.1055,0.006,0.0964,0.001,0.0
0.0785,0.003,0.0725,0.0,0.001
0.0995,0.004,0.0915,0.002,0.0
0.0985,0.004,0.0915,0.001,0.0
0.1075,0.005,0.0985,0.002,0.0
0.084,0.003,0.079,0.001,0.0
0.1195,0.0065,0.109,0.001,0.0
0.1325,0.006,0.1225,0.002,0.0
0.1135,0.004,0.1065,0.001,0.0
0.1035,0.004,0.0965,0.001,0.0
0.1267,0.01,0.1107,0.002,0.001
0.1065,0.004,0.0995,0.001,0.0
0.1198,0.006,0.1098,0.002,0.0
0.0975,0.004,0.0905,0.001,0.0
0.1129,0.004,0.1049,0.002,0.0
0.114,0.004,0.1071,0.001,0.0
0.1195,0.004,0.1125,0.001,0.0
0.1258,0.006,0.1148,0.002,0.0
0.1261,0.0055,0.1176,0.001,0.0
0.1065,0.004,0.0985,0.001,0.001
0.1185,0.004,0.1104,0.002,0.0
0.1181,0.01,0.1031,0.001,0.001
0.115,0.0065,0.1055,0.001,0.0
0.1026,0.003,0.0956,0.001,0.001
0.1175,0.003,0.1105,0.002,0.0
0.1166,0.005,0.1065,0.0021,0.0
0.1045,0.004,0.0975,0.001,0.0
0.1131,0.004,0.1051,0.002,0.0
0.1165,0.004,0.1095,0.001,0.0
0.1007,0.005,0.0917,0.001,0.001
0.1177,0.0095,0.1009,0.003,0.0
0.1105,0.006,0.1015,0.001,0.0
0.1095,0.006,0.1005,0.001,0.001
0.1095,0.004,0.1015,0.002,0.0
0.1205,0.004,0.1125,0.002,0.0
0.1212,0.006,0.1102,0.001,0.001
0.1316,0.005,0.1226,0.001,0.0
0.117,0.005,0.109,0.001,0.0
0.1008,0.005,0.0903,0.001,0.001
0.1229,0.007,0.1099,0.002,0.0
0.1092,0.005,0.101,0.001,0.0
0.1111,0.006,0.1012,0.002,0.0
0.1165,0.006,0.1075,0.001,0.0
0.1175,0.004,0.1095,0.002,0.0
0.1055,0.003,0.0985,0.001,0.001
0.1195,0.004,0.1125,0.001,0.0
