duration_seconds,epoch
1.9346,0
1.2354,0
0.8593,0
0.9525,0
0.6434,0
1.1337,0
0.7415,0
0.6411,0
0.5983,0
0.9906,0
1.9788,0
0.7365,0
0.7652,0
0.7508,0
0.5438,0
0.6091,0
0.706,0
0.6401,0
0.6105,0
0.571,0
0.5759,0
0.515,0
0.5158,0
0.5164,0
0.5249,0
0.507,0
0.5935,0
0.5225,0
0.5052,0
1.2149,0
0.6789,0
0.9551,0
0.9829,0
0.6974,0
0.5278,0
0.481,0
0.4779,0
0.4881,0
0.4846,0
0.4862,0
0.5047,0
0.5941,0
0.4714,0
0.5893,0
0.5231,0
0.5214,0
0.4689,0
0.4672,0
0.436,0
0.5479,0
0.5182,0
0.4423,0
0.4666,0
0.565,0
0.7861,0
1.3938,0
0.7454,0
0.568,0
0.5509,0
0.6025,0
0.526,0
0.5238,0
0.5141,0
0.6176,0
0.6798,0
0.5138,0
0.525,0
0.5528,0
0.5395,0
0.4865,0
0.521,0
0.4425,0
0.782,1
0.5832,1
0.7253,1
0.6477,1
0.7194,1
0.7722,1
0.5344,1
0.5569,1
0.5501,1
0.516,1
0.5254,1
0.6399,1
0.5159,1
0.5323,1
0.5116,1
0.5236,1
0.5219,1
0.564,1
0.5477,1
0.5738,1
0.63,1
0.7297,1
0.5593,1
0.5547,1
0.6526,1
0.6075,1
0.5886,1
0.5829,1
0.6937,1
0.8848,1
0.6237,1
0.5986,1
0.6122,1
0.5583,1
0.5794,1
0.6501,1
0.5959,1
0.5944,1
0.7244,1
0.8209,1
0.6565,1
0.8659,1
0.7433,1
0.683,1
0.9258,1
0.83,1
0.798,1
0.6643,1
0.7146,1
0.8607,1
0.8943,1
0.54,1
0.8152,1
0.7602,1
0.6627,1
0.6726,1
0.4663,1
0.8053,1
1.2393,1
0.6585,1
0.4661,1
1.3112,1
0.8424,1
0.6499,1
0.6489,1
0.7156,1
0.4995,1
0.4466,1
0.4508,1
0.458,1
0.4646,1
0.394,1
0.605,2
0.5113,2
0.4427,2
0.4293,2
0.4068,2
0.4157,2
0.4522,2
0.5005,2
0.4749,2
0.3959,2
0.4344,2
0.4809,2
0.4602,2
0.445,2
0.4176,2
0.437,2
0.4477,2
0.4801,2
0.3968,2
0.4486,2
0.3949,2
0.4054,2
0.464,2
0.4301,2
0.4651,2
0.4252,2
0.4343,2
0.4216,2
0.4079,2
0.416,2
0.4507,2
0.3965,2
0.4717,2
0.4763,2
0.4195,2
0.4092,2
0.4438,2
0.4656,2
0.4797,2
0.4356,2
0.4321,2
0.432,2
0.4877,2
0.4272,2
0.4474,2
0.463,2
0.432,2
0.409,2
0.4545,2
0.4304,2
0.4634,2
0.4406,2
0.4069,2
0.4348,2
0.4373,2
0.4462,2
0.4416,2
0.4183,2
0.4616,2
0.4831,2
0.445,2
0.5056,2
0.4353,2
0.3878,2
0.3703,2
0.3993,2
0.3554,2
0.4304,2
0.3955,2
0.4286,2
0.4206,2
0.3265,2
0.5509,3
0.4317,3
0.4142,3
0.4555,3
0.4342,3
0.4439,3
0.4708,3
0.4417,3
0.4732,3
0.5401,3
0.4917,3
0.4254,3
0.4439,3
0.4917,3
0.4624,3
0.4153,3
0.4655,3
0.5047,3
0.4858,3
0.4261,3
0.5332,3
0.479,3
0.4369,3
0.4574,3
0.4427,3
0.4763,3
0.4716,3
0.4497,3
0.4507,3
0.4887,3
0.4369,3
0.4455,3
0.4022,3
0.4384,3
0.4703,3
0.4553,3
0.4329,3
0.4691,3
0.4455,3
0.4736,3
0.4996,3
0.4674,3
0.4516,3
0.4341,3
0.4622,3
0.4336,3
0.4418,3
0.4677,3
0.4253,3
0.4647,3
0.4681,3
0.418,3
0.4008,3
0.4184,3
0.4697,3
0.4375,3
0.4103,3
0.3582,3
0.3866,3
0.4929,3
0.3825,3
0.4041,3
0.4551,3
0.4081,3
0.4257,3
0.3867,3
0.4033,3
0.4494,3
0.3796,3
0.3132,3
0.4467,3
0.3767,3
0.5473,4
0.4304,4
0.412,4
0.3877,4
0.3874,4
0.4454,4
0.462,4
0.4471,4
0.4759,4
0.4555,4
0.4603,4
0.5411,4
0.4633,4
0.4393,4
0.4775,4
0.4369,4
0.5137,4
0.4334,4
0.4673,4
0.4361,4
0.396,4
0.4561,4
0.4528,4
0.4485,4
0.4809,4
0.4629,4
0.4567,4
0.4521,4
0.4479,4
0.4588,4
0.454,4
0.4764,4
0.5133,4
0.5324,4
0.4619,4
0.4807,4
0.4533,4
0.4551,4
0.4555,4
0.4029,4
0.3785,4
0.4223,4
0.4158,4
0.4593,4
0.3952,4
0.4175,4
0.4654,4
0.4151,4
0.426,4
0.4021,4
0.4154,4
0.4352,4
0.4694,4
0.4344,4
0.464,4
0.4318,4
0.3721,4
0.3812,4
0.4141,4
0.3905,4
0.4247,4
0.4375,4
0.4163,4
0.3842,4
0.4241,4
0.4326,4
0.4423,4
0.4328,4
0.4425,4
0.3468,4
0.4036,4
0.3211,4
