total,text,img,nodenum,concat
0.1136,0.008,0.0996,0.001,0.001
0.0975,0.004,0.0905,0.001,0.0
0.0995,0.003,0.0935,0.001,0.0
0.0967,0.006,0.0876,0.0011,0.0
0.0765,0.006,0.0675,0.001,0.0
0.0915,0.003,0.0855,0.001,0.0
0.087,0.003,0.082,0.001,0.0
0.0934,0.004,0.0864,0.001,0.001
0.0891,0.004,0.0821,0.001,0.0
0.0944,0.005,0.0864,0.001,0.0
0.09,0.004,0.083,0.001,0.0
0.0935,0.005,0.0865,0.001,0.0
0.0939,0.007,0.0829,0.001,0.001
0.0895,0.007,0.0775,0.001,0.001
0.0945,0.003,0.0885,0.001,0.0
0.0912,0.004,0.0832,0.001,0.001
0.0935,0.004,0.0865,0.001,0.0
0.0945,0.005,0.0855,0.001,0.0
0.0928,0.0083,0.0795,0.002,0.0
0.0855,0.005,0.0775,0.001,0.0
0.087,0.003,0.081,0.001,0.0
0.0973,0.005,0.0893,0.001,0.0
0.0765,0.003,0.0725,0.0,0.0
0.069,0.003,0.064,0.0,0.001
0.0959,0.003,0.0909,0.001,0.0
0.0946,0.0042,0.0863,0.001,0.001
0.0941,0.004,0.0881,0.001,0.0
0.082,0.004,0.075,0.001,0.0
0.0976,0.0041,0.0905,0.001,0.0
0.0916,0.003,0.0866,0.001,0.0
0.0855,0.003,0.0795,0.001,0.0
0.0715,0.004,0.0655,0.001,0.0
0.0978,0.0045,0.0903,0.001,0.0
0.0991,0.005,0.0901,0.001,0.001
0.1028,0.0081,0.0907,0.001,0.001
0.0955,0.005,0.0875,0.001,0.0
0.09,0.005,0.082,0.001,0.0
0.0885,0.003,0.0835,0.001,0.0
0.0905,0.004,0.0826,0.0009,0.001
0.0825,0.0051,0.0755,0.001,0.0
0.1005,0.008,0.0875,0.002,0.0
0.0951,0.005,0.0861,0.001,0.0
0.0862,0.003,0.0802,0.001,0.0
0.0955,0.004,0.0885,0.001,0.001
0.0986,0.0065,0.0881,0.002,0.0
0.0905,0.003,0.0845,0.001,0.0
0.0907,0.003,0.0857,0.001,0.0
0.0781,0.005,0.0701,0.001,0.0
0.0952,0.0085,0.0817,0.001,0.001
0.0969,0.0065,0.086,0.002,0.0
0.0995,0.0075,0.09,0.001,0.0
0.0825,0.003,0.077,0.001,0.0
0.0975,0.003,0.0915,0.001,0.0
0.0835,0.004,0.0775,0.001,0.0
0.0766,0.004,0.0696,0.001,0.0
0.0869,0.004,0.0809,0.001,0.0
0.0915,0.004,0.0845,0.001,0.0
0.0985,0.004,0.0925,0.001,0.0
0.0879,0.003,0.0829,0.0,0.0
0.0914,0.003,0.0855,0.001,0.001
0.0897,0.005,0.0827,0.001,0.0
0.0838,0.004,0.0757,0.002,0.0
0.0979,0.004,0.0909,0.001,0.001
0.0865,0.004,0.0795,0.0,0.001
