duration_seconds,epoch
0.5098,0
0.4447,0
0.4305,0
0.4294,0
0.4598,0
0.4312,0
0.4109,0
0.5921,0
0.4313,0
0.5026,0
0.3884,0
0.4169,0
0.5278,0
0.3829,0
0.6676,0
0.5735,0
0.3752,0
0.4187,0
0.4053,0
0.436,0
0.3704,0
0.5652,0
0.4066,0
0.4067,0
0.4232,0
0.438,0
0.4267,0
0.4136,0
0.3892,0
0.3933,0
0.3957,0
0.4281,0
0.4201,0
0.3609,0
0.5032,0
0.3968,0
0.4474,0
0.4243,0
0.4295,0
0.4478,0
0.446,0
0.4378,0
0.394,0
0.4261,0
0.4228,0
0.4314,0
0.4336,0
0.3787,0
0.4279,0
0.431,0
0.4341,0
0.4172,0
0.4277,0
0.5139,0
0.4863,0
0.4585,0
0.4148,0
0.434,0
0.4465,0
0.4316,0
0.4298,0
0.4278,0
0.4125,0
0.4371,0
0.4496,0
0.4339,0
0.4329,0
0.436,0
0.4675,0
0.4607,0
0.4202,0
0.4027,0
0.4335,1
0.3914,1
0.44,1
0.4462,1
0.4787,1
0.4514,1
0.4483,1
0.4146,1
0.5019,1
0.4211,1
0.4204,1
0.4326,1
0.4258,1
0.42,1
0.4227,1
0.4275,1
0.4554,1
0.4648,1
0.4848,1
0.4298,1
0.4086,1
0.4371,1
0.4371,1
0.501,1
0.4343,1
0.4331,1
0.5341,1
0.4663,1
0.4458,1
0.4615,1
0.4705,1
0.4335,1
0.441,1
0.425,1
0.4502,1
0.4614,1
0.4621,1
0.4405,1
0.4309,1
0.515,1
0.4225,1
0.429,1
0.4206,1
0.4374,1
0.4063,1
0.4197,1
0.4341,1
0.4213,1
0.4412,1
0.4546,1
0.4346,1
0.4352,1
0.4473,1
0.4232,1
0.4336,1
0.4196,1
0.4804,1
0.4666,1
0.4184,1
0.4263,1
0.5007,1
0.4467,1
0.4376,1
0.4232,1
0.4783,1
0.4497,1
0.4448,1
0.4391,1
0.442,1
0.4266,1
0.4659,1
0.3791,1
0.4393,2
0.4345,2
0.4454,2
0.4396,2
0.4891,2
0.4178,2
0.4571,2
0.4328,2
0.4997,2
0.5196,2
0.4362,2
0.4173,2
0.4573,2
0.4021,2
0.4677,2
0.4492,2
0.4696,2
0.4888,2
0.502,2
0.4816,2
0.5001,2
0.4142,2
0.4629,2
0.4323,2
0.4399,2
0.4253,2
0.4396,2
0.4158,2
0.4348,2
0.4427,2
0.4569,2
0.4466,2
0.4503,2
0.4216,2
0.4031,2
0.4671,2
0.4563,2
0.443,2
0.4176,2
0.4333,2
0.4687,2
0.4623,2
0.4373,2
0.4362,2
0.4139,2
0.4316,2
0.4261,2
0.4012,2
0.4421,2
0.4213,2
0.4215,2
0.4162,2
0.4126,2
0.4216,2
0.4387,2
0.4546,2
0.4584,2
0.4379,2
0.5119,2
0.4398,2
0.4754,2
0.4411,2
0.4187,2
0.4402,2
0.4861,2
0.4466,2
0.4616,2
0.5381,2
0.4158,2
0.4465,2
0.4547,2
0.3786,2
0.4296,3
0.5011,3
0.4249,3
0.4177,3
0.4948,3
0.4132,3
0.4141,3
0.3996,3
0.4561,3
0.4497,3
0.5653,3
0.776,3
0.7157,3
0.6675,3
0.5789,3
0.5832,3
0.4931,3
0.4767,3
0.4551,3
0.5592,3
0.5587,3
0.5244,3
0.5086,3
0.5171,3
0.4726,3
0.4668,3
0.4501,3
0.4418,3
0.4886,3
0.4564,3
0.4157,3
0.4576,3
0.4386,3
0.4646,3
0.4508,3
0.5815,3
0.5708,3
0.6489,3
0.5067,3
0.4403,3
0.4294,3
0.4341,3
0.4321,3
0.4597,3
0.4457,3
0.4514,3
0.4416,3
0.4559,3
0.456,3
0.5101,3
0.5431,3
0.5015,3
0.53,3
0.5379,3
0.4764,3
0.5073,3
0.4845,3
0.4288,3
0.4666,3
0.4853,3
0.5086,3
0.4531,3
0.4498,3
0.4633,3
0.529,3
0.4708,3
0.6672,3
0.751,3
0.6465,3
0.6727,3
0.6631,3
0.4304,3
0.6128,4
0.5363,4
0.585,4
0.6972,4
0.7947,4
0.7723,4
0.5348,4
0.4546,4
0.5533,4
0.4644,4
0.4324,4
0.4471,4
0.4319,4
0.4308,4
0.4501,4
0.4639,4
0.5087,4
0.4321,4
0.4328,4
0.4237,4
0.4666,4
0.5317,4
0.4844,4
0.4337,4
0.4306,4
0.4515,4
0.426,4
0.4783,4
0.4316,4
0.5846,4
0.6187,4
0.5744,4
0.4783,4
0.5926,4
0.5271,4
0.4537,4
0.519,4
0.5312,4
0.6677,4
0.581,4
0.7069,4
0.9682,4
1.2641,4
1.3933,4
1.2576,4
1.2775,4
1.1406,4
0.9147,4
0.8261,4
0.8418,4
0.685,4
0.7841,4
0.7459,4
0.5885,4
0.6598,4
0.5546,4
0.4002,4
0.427,4
0.4377,4
0.6045,4
0.457,4
0.543,4
0.5073,4
0.5635,4
0.4584,4
0.3598,4
0.3504,4
0.4111,4
0.3366,4
0.3276,4
0.3262,4
0.3005,4
