total,text,img,nodenum,concat
0.1124,0.005,0.1044,0.001,0.0
0.1052,0.0061,0.094,0.002,0.0
0.1085,0.005,0.0995,0.001,0.0
0.1065,0.005,0.0985,0.001,0.0
0.1095,0.004,0.1025,0.001,0.0
0.1084,0.006,0.0984,0.001,0.0
0.103,0.004,0.094,0.001,0.001
0.1085,0.005,0.0995,0.001,0.001
0.1051,0.004,0.0971,0.001,0.001
0.109,0.005,0.1,0.001,0.001
0.1015,0.005,0.0945,0.001,0.0
0.117,0.0112,0.0984,0.002,0.001
0.0985,0.003,0.0925,0.001,0.0
0.1125,0.006,0.1025,0.001,0.001
0.1115,0.007,0.0995,0.001,0.001
0.1002,0.004,0.0932,0.001,0.001
0.11,0.01,0.095,0.002,0.0
0.0993,0.007,0.0883,0.001,0.0
0.1024,0.006,0.0924,0.002,0.0
0.1039,0.004,0.0979,0.001,0.0
0.1116,0.0044,0.1042,0.001,0.001
0.1119,0.004,0.1046,0.001,0.0
0.1083,0.005,0.1013,0.001,0.0
0.1099,0.0047,0.1009,0.001,0.0
0.1049,0.0052,0.0977,0.001,0.0
0.118,0.007,0.107,0.002,0.0
0.1041,0.007,0.0921,0.002,0.0
0.1071,0.0055,0.0971,0.0025,0.0
0.1065,0.009,0.0915,0.002,0.001
0.1015,0.006,0.0935,0.001,0.0
0.1064,0.009,0.0932,0.0016,0.0006
0.112,0.004,0.105,0.001,0.0
0.105,0.006,0.095,0.001,0.001
0.1052,0.003,0.0982,0.002,0.0
0.1025,0.004,0.0955,0.001,0.0
0.11,0.004,0.103,0.001,0.001
0.1163,0.005,0.1073,0.001,0.0
0.1059,0.005,0.0969,0.002,0.0
0.1061,0.005,0.0971,0.001,0.001
0.1076,0.005,0.0996,0.001,0.0
0.1025,0.0054,0.0918,0.001,0.001
0.1119,0.007,0.0997,0.002,0.0
0.1065,0.005,0.0995,0.001,0.0
0.1096,0.0055,0.0997,0.002,0.0
0.1151,0.0075,0.1025,0.001,0.001
0.1002,0.0031,0.0941,0.001,0.0
0.1117,0.006,0.1017,0.002,0.0
0.1131,0.004,0.1051,0.001,0.001
0.1054,0.0062,0.0952,0.001,0.001
0.1081,0.007,0.097,0.001,0.0
0.1133,0.006,0.1033,0.002,0.0
0.1115,0.005,0.1025,0.002,0.0
0.1025,0.005,0.0935,0.002,0.0
0.1014,0.004,0.0944,0.001,0.001
0.0985,0.004,0.0905,0.001,0.001
0.1046,0.0038,0.0983,0.001,0.0
0.1009,0.005,0.0939,0.001,0.0
0.1036,0.005,0.0966,0.001,0.0
0.1061,0.005,0.0981,0.002,0.0
0.1039,0.0052,0.0957,0.001,0.0
0.1076,0.01,0.0919,0.002,0.0
0.0925,0.003,0.0865,0.001,0.0
0.1127,0.005,0.1047,0.001,0.0
0.1068,0.005,0.0978,0.001,0.001
0.1127,0.0061,0.1029,0.0015,0.0
0.1125,0.005,0.1045,0.001,0.0
0.1107,0.006,0.1015,0.001,0.0
0.1056,0.005,0.0976,0.001,0.0
0.0985,0.004,0.0905,0.002,0.0
0.1043,0.005,0.0953,0.001,0.001
0.1046,0.004,0.0986,0.001,0.0
0.1047,0.004,0.0977,0.002,0.0
0.1043,0.004,0.0963,0.002,0.0
0.1117,0.006,0.1015,0.002,0.0
0.1155,0.005,0.1065,0.001,0.001
0.1109,0.004,0.1029,0.001,0.0
0.1215,0.007,0.1095,0.001,0.001
0.1131,0.0062,0.1039,0.001,0.0
0.1025,0.004,0.0945,0.002,0.0
0.1134,0.005,0.1051,0.001,0.0
0.1072,0.005,0.0992,0.001,0.0
0.1107,0.0051,0.1025,0.001,0.0
0.1087,0.004,0.1007,0.002,0.0
0.1095,0.005,0.1005,0.001,0.0
0.109,0.003,0.103,0.001,0.0
0.1065,0.005,0.0975,0.001,0.001
0.1074,0.005,0.0984,0.002,0.0
0.1059,0.005,0.0984,0.001,0.0
0.118,0.007,0.1065,0.001,0.001
0.1053,0.003,0.0993,0.001,0.0
0.1132,0.006,0.1042,0.001,0.0
0.1106,0.003,0.1056,0.001,0.0
0.1177,0.0072,0.1055,0.001,0.001
0.1035,0.008,0.0915,0.002,0.0
0.1045,0.006,0.0945,0.002,0.0
0.1222,0.009,0.106,0.003,0.001
0.1104,0.005,0.1019,0.002,0.0
0.1219,0.0091,0.1078,0.002,0.0
0.1167,0.008,0.1046,0.001,0.0
0.1117,0.005,0.1037,0.001,0.0
0.1045,0.006,0.0935,0.001,0.001
0.1134,0.006,0.1054,0.001,0.0
0.1086,0.005,0.0996,0.001,0.0
0.1139,0.0064,0.1045,0.002,0.0
0.1105,0.003,0.1045,0.001,0.0
0.1168,0.005,0.1083,0.002,0.0
0.1175,0.0063,0.1071,0.002,0.0
0.1052,0.004,0.0986,0.001,0.0005
0.1025,0.004,0.0945,0.001,0.001
0.1055,0.005,0.0965,0.001,0.001
0.152,0.008,0.138,0.003,0.0
0.1296,0.006,0.1196,0.001,0.0
0.1342,0.0071,0.1231,0.001,0.0
0.1328,0.005,0.1228,0.002,0.0
0.1677,0.0072,0.1555,0.002,0.0
0.1376,0.007,0.126,0.0016,0.0
0.1583,0.006,0.1476,0.0017,0.0
0.1778,0.008,0.1642,0.002,0.0
0.1529,0.006,0.1429,0.001,0.0
0.1132,0.004,0.1058,0.001,0.0
0.1486,0.007,0.1376,0.001,0.0
0.1367,0.006,0.1282,0.001,0.0
0.154,0.007,0.142,0.002,0.0
0.1405,0.007,0.1305,0.001,0.0
0.1856,0.009,0.1716,0.002,0.0
0.1496,0.005,0.1406,0.002,0.0
0.1335,0.006,0.1225,0.002,0.0
0.181,0.007,0.169,0.002,0.0
0.15,0.005,0.14,0.002,0.0
0.1428,0.0092,0.1276,0.001,0.001
0.1559,0.007,0.1439,0.002,0.0
0.1731,0.01,0.1561,0.002,0.001
0.1496,0.007,0.1376,0.002,0.0
0.1423,0.007,0.1313,0.001,0.001
0.1485,0.006,0.1385,0.002,0.0
0.1591,0.007,0.1491,0.001,0.0
0.1601,0.008,0.1471,0.002,0.0
0.1802,0.008,0.1682,0.001,0.0
0.1485,0.008,0.1355,0.002,0.0
0.1545,0.018,0.1265,0.001,0.001
0.1699,0.005,0.1609,0.001,0.001
0.1468,0.0052,0.1376,0.001,0.0
0.1335,0.005,0.1255,0.001,0.0
0.1155,0.005,0.1075,0.001,0.0
0.1511,0.007,0.1391,0.002,0.0
0.1315,0.007,0.1195,0.001,0.001
0.1393,0.007,0.1272,0.0021,0.0
0.1539,0.0065,0.1435,0.002,0.0
0.1881,0.008,0.175,0.001,0.001
0.144,0.007,0.132,0.002,0.0
0.1415,0.006,0.1295,0.001,0.001
0.1696,0.008,0.1566,0.002,0.0
0.1506,0.005,0.1406,0.001,0.001
0.1429,0.007,0.1315,0.001,0.0
0.1519,0.0051,0.1428,0.002,0.0
0.1535,0.011,0.1376,0.002,0.0
0.1477,0.004,0.1387,0.002,0.001
0.157,0.007,0.146,0.001,0.0
0.1521,0.011,0.1351,0.003,0.0
0.1585,0.008,0.1455,0.002,0.0
0.1613,0.006,0.1503,0.001,0.001
0.1575,0.006,0.1475,0.001,0.0
