duration_seconds,epoch
0.5845,0
0.3746,0
0.4521,0
0.3481,0
0.3325,0
0.3539,0
0.3568,0
0.3345,0
0.3645,0
0.3641,0
0.3673,0
0.3479,0
0.3776,0
0.485,0
0.3676,0
0.5333,0
0.518,0
0.4104,0
0.405,0
0.3857,0
0.5775,0
0.3918,0
0.3876,0
0.4229,0
0.3841,0
0.3636,0
0.3938,0
0.3753,0
0.3739,0
0.3601,0
0.3226,0
0.3553,0
0.4521,0
0.456,0
0.4724,0
0.5661,0
0.5693,0
0.4584,0
0.4119,0
0.4523,0
0.5857,0
0.5167,0
0.4201,0
0.4001,0
0.3759,0
0.4038,0
0.4381,0
0.5348,0
0.411,0
0.3629,0
0.3785,0
0.4388,0
0.3871,0
0.4093,0
0.3905,0
0.4045,0
0.4158,0
0.3801,0
0.4117,0
0.4001,0
0.3791,0
0.4071,0
0.4313,0
0.4313,0
0.4026,0
0.3966,0
0.4187,0
0.4111,0
0.4253,0
0.5735,0
0.4086,0
0.347,0
0.4912,1
0.3858,1
0.3443,1
0.3682,1
0.4013,1
0.3778,1
0.4606,1
0.367,1
0.3227,1
0.3703,1
0.3385,1
0.3299,1
0.3386,1
0.3343,1
0.3994,1
0.3675,1
0.3654,1
0.401,1
0.4071,1
0.3731,1
0.378,1
0.3748,1
0.3438,1
0.3701,1
0.3828,1
0.3491,1
0.3892,1
0.3742,1
0.4565,1
0.4581,1
0.4625,1
0.4129,1
0.397,1
0.3667,1
0.3761,1
0.4013,1
0.3866,1
0.3837,1
0.3611,1
0.4011,1
0.373,1
0.3711,1
0.3762,1
0.4356,1
0.429,1
0.41,1
0.4616,1
0.4512,1
0.5651,1
0.6887,1
0.5994,1
0.697,1
0.519,1
0.4649,1
0.4476,1
0.5038,1
0.4368,1
0.4572,1
0.3842,1
0.4051,1
0.3937,1
0.4182,1
0.4242,1
0.4492,1
0.4543,1
0.4296,1
0.4467,1
0.4689,1
0.469,1
0.4132,1
0.4149,1
0.3942,1
0.5185,2
0.4011,2
0.3461,2
0.3428,2
0.4075,2
0.4136,2
0.4781,2
0.3261,2
0.3386,2
0.4067,2
0.3578,2
0.4458,2
0.3951,2
0.4334,2
0.329,2
0.3441,2
0.3352,2
0.3522,2
0.3671,2
0.3383,2
0.3664,2
0.5034,2
0.4359,2
0.3509,2
0.3286,2
0.3547,2
0.3413,2
0.3445,2
0.3987,2
0.4663,2
0.4415,2
0.4211,2
0.4737,2
0.4134,2
0.375,2
0.3902,2
0.3505,2
0.39,2
0.3906,2
0.3897,2
0.4254,2
0.4281,2
0.4051,2
0.3852,2
0.4335,2
0.3789,2
0.3491,2
0.4436,2
0.3997,2
0.4223,2
0.4106,2
0.3405,2
0.3814,2
0.4613,2
0.3817,2
0.4192,2
0.4208,2
0.3738,2
0.3922,2
0.4198,2
0.4355,2
0.4279,2
0.3673,2
0.4086,2
0.4246,2
0.3858,2
0.4193,2
0.379,2
0.321,2
0.426,2
0.433,2
0.4,2
0.332,3
0.3562,3
0.3504,3
0.3705,3
0.3891,3
0.3096,3
0.3526,3
0.3414,3
0.4268,3
0.3818,3
0.3875,3
0.3672,3
0.4681,3
0.3892,3
0.4418,3
0.4683,3
0.4485,3
0.4676,3
0.3898,3
0.3791,3
0.4196,3
0.4331,3
0.3541,3
0.3248,3
0.7044,3
0.5176,3
0.6298,3
0.5731,3
0.6263,3
0.725,3
0.4698,3
0.5408,3
0.4981,3
0.4966,3
0.4412,3
0.456,3
0.4715,3
0.5122,3
0.5,3
0.5019,3
0.4618,3
0.4234,3
0.4311,3
0.4635,3
0.4521,3
0.4216,3
0.483,3
0.4539,3
0.4263,3
0.4662,3
0.4624,3
0.4469,3
0.43,3
0.4415,3
0.4662,3
0.4243,3
0.4317,3
0.4242,3
0.4492,3
0.4315,3
0.4646,3
0.4338,3
0.43,3
0.437,3
0.4284,3
0.4237,3
0.4257,3
0.4362,3
0.4388,3
0.4264,3
0.4976,3
0.3912,3
0.5371,4
0.4566,4
0.411,4
0.4411,4
0.4617,4
0.4317,4
0.5197,4
0.4277,4
0.4461,4
0.4271,4
0.4287,4
0.4243,4
0.4131,4
0.4591,4
0.4131,4
0.4301,4
0.4255,4
0.5071,4
0.4402,4
0.5004,4
0.4374,4
0.4299,4
0.4937,4
0.4149,4
0.4324,4
0.4455,4
0.4156,4
0.4221,4
0.4479,4
0.4471,4
0.4469,4
0.4947,4
0.4534,4
0.4241,4
0.4398,4
0.4231,4
0.4287,4
0.4464,4
0.4712,4
0.4298,4
0.4317,4
0.4757,4
0.4304,4
0.4484,4
0.4239,4
0.4489,4
0.4384,4
0.4722,4
0.4357,4
0.4684,4
0.4318,4
0.428,4
0.4361,4
0.4546,4
0.472,4
0.5042,4
0.4823,4
0.4771,4
0.4084,4
0.4454,4
0.4715,4
0.4461,4
0.4382,4
0.4117,4
0.4867,4
0.4522,4
0.5233,4
0.4448,4
0.4365,4
0.4316,4
0.4195,4
0.3696,4
