duration_seconds,epoch
0.2068,0
0.1581,0
0.1878,0
0.1876,0
0.1907,0
0.197,0
0.1689,0
0.172,0
0.1793,0
0.192,0
0.1833,0
0.1848,0
0.1807,0
0.183,0
0.1808,0
0.179,0
0.1786,0
0.1812,0
0.1895,0
0.178,0
0.1841,0
0.1756,0
0.1831,0
0.207,0
0.1872,0
0.2201,0
0.1831,0
0.236,0
0.209,0
0.2358,0
0.2565,0
0.1965,0
0.1888,0
0.198,0
0.2094,0
0.176,0
0.1704,0
0.1839,0
0.191,0
0.198,0
0.2207,0
0.1999,0
0.2326,0
0.2689,0
0.2075,0
0.1737,0
0.1932,0
0.178,0
0.2009,0
0.2058,0
0.1984,0
0.2052,0
0.1834,0
0.1826,0
0.1878,0
0.1929,0
0.1876,0
0.1877,0
0.189,0
0.2016,0
0.1887,0
0.1962,0
0.1901,0
0.2033,0
0.1906,0
0.1843,0
0.1914,0
0.1934,0
0.1957,0
0.1927,0
0.196,0
0.1942,0
0.1982,0
0.1984,0
0.1945,0
0.2001,0
0.1935,0
0.1951,0
0.2005,0
0.1975,0
0.1915,0
0.1878,0
0.2088,0
0.1923,0
0.1938,0
0.2008,0
0.1872,0
0.1985,0
0.1875,0
0.1974,0
0.2054,0
0.1964,0
0.1962,0
0.2043,0
0.1853,0
0.1857,0
0.1851,0
0.1913,0
0.2044,0
0.2013,0
0.2107,0
0.1967,0
0.2064,0
0.1985,0
0.2058,0
0.1945,0
0.1797,0
0.2,0
0.1986,0
0.2081,0
0.2091,0
0.1981,0
0.2205,0
0.2166,0
0.2163,0
0.1936,0
0.1942,0
0.2103,0
0.2126,0
0.2016,0
0.2073,0
0.2038,0
0.2106,0
0.1988,0
0.2104,0
0.2034,0
0.2041,0
0.2019,0
0.2001,0
0.201,0
0.2091,0
0.194,0
0.2046,0
0.2096,0
0.205,0
0.2048,0
0.1862,0
0.2055,0
0.2121,0
0.2351,0
0.2151,0
0.208,0
0.212,0
0.1627,0
0.2109,1
0.2167,1
0.2183,1
0.2151,1
0.2131,1
0.2182,1
0.2045,1
0.216,1
0.2072,1
0.2187,1
0.2082,1
0.232,1
0.2041,1
0.2241,1
0.221,1
0.2174,1
0.2161,1
0.207,1
0.2129,1
0.2044,1
0.2183,1
0.2184,1
0.2168,1
0.2174,1
0.2136,1
0.234,1
0.2162,1
0.2143,1
0.225,1
0.2128,1
0.2209,1
0.2257,1
0.2176,1
0.2118,1
0.2051,1
0.2112,1
0.229,1
0.209,1
0.2046,1
0.2103,1
0.2075,1
0.2154,1
0.2163,1
0.2175,1
0.2246,1
0.2116,1
0.2162,1
0.2159,1
0.206,1
0.2244,1
0.218,1
0.2201,1
0.2095,1
0.2025,1
0.1987,1
0.2001,1
0.2067,1
0.2171,1
0.202,1
0.2066,1
0.2212,1
0.1936,1
0.2294,1
0.2194,1
0.218,1
0.228,1
0.2282,1
0.2051,1
0.2033,1
0.209,1
0.2116,1
0.213,1
0.2068,1
0.2215,1
0.2207,1
0.22,1
0.2402,1
0.2246,1
0.2077,1
0.2206,1
0.2128,1
0.215,1
0.2231,1
0.212,1
0.2164,1
0.2181,1
0.2096,1
0.2095,1
0.2339,1
0.2169,1
0.2229,1
0.2139,1
0.2322,1
0.2057,1
0.2101,1
0.2523,1
0.2209,1
0.2433,1
0.2382,1
0.2244,1
0.2156,1
0.2239,1
0.2183,1
0.2214,1
0.2161,1
0.2354,1
0.224,1
0.2097,1
0.1942,1
0.2346,1
0.2879,1
0.2643,1
0.2817,1
0.2595,1
0.3302,1
0.29,1
0.2863,1
0.3267,1
0.2995,1
0.2423,1
0.2795,1
0.2613,1
0.2786,1
0.2719,1
0.3431,1
0.2821,1
0.2841,1
0.341,1
0.2965,1
0.2663,1
0.3214,1
0.3423,1
0.3001,1
0.2983,1
0.3036,1
0.3103,1
0.3178,1
0.3412,1
0.2825,1
0.2935,1
0.327,1
0.2948,1
0.2745,1
0.2226,1
0.2924,2
0.2646,2
0.2837,2
0.308,2
0.3396,2
0.2746,2
0.2716,2
0.3053,2
0.2999,2
0.2987,2
0.2921,2
0.3176,2
0.3152,2
0.2896,2
0.2928,2
0.3184,2
0.3138,2
0.292,2
0.2778,2
0.2877,2
0.3374,2
0.2564,2
0.257,2
0.2901,2
0.3034,2
0.329,2
0.3599,2
0.3186,2
0.2611,2
0.3135,2
0.2936,2
0.2925,2
0.2967,2
0.2692,2
0.3038,2
0.3039,2
0.3053,2
0.2946,2
0.2793,2
0.3216,2
0.3226,2
0.274,2
0.2562,2
0.3192,2
0.2975,2
0.269,2
0.2874,2
0.3265,2
0.2886,2
0.2731,2
0.3026,2
0.3022,2
0.2735,2
0.2673,2
0.2826,2
0.2905,2
0.2772,2
0.304,2
0.2885,2
0.2936,2
0.3205,2
0.2722,2
0.2915,2
0.3076,2
0.3029,2
0.292,2
0.2796,2
0.3095,2
0.3106,2
0.3178,2
0.3347,2
0.2726,2
0.3031,2
0.2935,2
0.3177,2
0.2842,2
0.2891,2
0.3018,2
0.2804,2
0.3194,2
0.3196,2
0.2847,2
0.302,2
0.3099,2
0.3127,2
0.2959,2
0.3131,2
0.2982,2
0.2613,2
0.3049,2
0.363,2
0.2945,2
0.2695,2
0.3324,2
0.3118,2
0.2906,2
0.3127,2
0.2841,2
0.2988,2
0.3245,2
0.2927,2
0.2971,2
0.3139,2
0.3378,2
0.2825,2
0.254,2
0.273,2
0.3231,2
0.2882,2
0.2985,2
0.2845,2
0.2694,2
0.3215,2
0.3065,2
0.2932,2
0.3064,2
0.3212,2
0.3178,2
0.2719,2
0.2815,2
0.3255,2
