total,text,img,nodenum,concat
0.36,0.0492,0.293,0.0,0.0
0.2044,0.017,0.1875,0.0,0.0
0.1913,0.0214,0.1699,0.0,0.0
0.203,0.0175,0.1855,0.0,0.0
0.1851,0.009,0.176,0.0,0.0
0.2035,0.0,0.1971,0.0019,0.0
0.1893,0.0,0.1832,0.0,0.0
0.1985,0.014,0.1818,0.0027,0.0
0.2004,0.0105,0.1899,0.0,0.0
0.2045,0.0155,0.189,0.0,0.0
0.2028,0.0143,0.1818,0.0061,0.0005
0.1901,0.0156,0.1745,0.0,0.0
0.1754,0.0089,0.1665,0.0,0.0
0.1799,0.0097,0.167,0.0,0.0
0.1825,0.0087,0.1738,0.0,0.0
0.1889,0.0,0.1868,0.0021,0.0
0.1882,0.0075,0.1781,0.0,0.0
0.1765,0.0085,0.1666,0.0,0.0
0.1935,0.0128,0.1807,0.0,0.0
0.207,0.0157,0.1914,0.0,0.0
0.1851,0.0,0.1806,0.0,0.0
0.1884,0.0,0.1884,0.0,0.0
0.1889,0.0135,0.1597,0.0156,0.0
0.1746,0.0,0.1693,0.0,0.0
0.1944,0.0086,0.1833,0.0025,0.0
0.1935,0.0055,0.1775,0.0,0.0
0.2135,0.0105,0.1925,0.0105,0.0
0.1983,0.0157,0.1825,0.0,0.0
0.1794,0.0,0.1739,0.0,0.0
0.1878,0.0,0.1797,0.0,0.0035
0.1909,0.0157,0.1752,0.0,0.0
0.1849,0.0071,0.1683,0.0,0.0
0.1912,0.0,0.1892,0.0,0.0
0.1802,0.0,0.1802,0.0,0.0
0.1897,0.0,0.1892,0.0,0.0
0.1853,0.0,0.1762,0.0,0.0
0.1754,0.0094,0.166,0.0,0.0
0.1898,0.011,0.1788,0.0,0.0
0.1775,0.0158,0.1617,0.0,0.0
0.2013,0.0089,0.189,0.0034,0.0
0.1836,0.004,0.1765,0.0,0.0
0.1904,0.0,0.1904,0.0,0.0
0.207,0.0052,0.1845,0.0073,0.0
0.2042,0.0108,0.1841,0.0,0.0
0.2,0.0164,0.1742,0.0,0.0094
0.1862,0.011,0.1724,0.0028,0.0
0.1901,0.009,0.1604,0.014,0.0
0.183,0.0097,0.1733,0.0,0.0
0.2038,0.0,0.201,0.0021,0.0007
0.2289,0.0114,0.2111,0.0049,0.0015
0.1938,0.0106,0.1659,0.0136,0.0005
0.1948,0.0169,0.178,0.0,0.0
0.2009,0.0163,0.1845,0.0,0.0
0.2017,0.0115,0.1883,0.0019,0.0
0.1791,0.0095,0.1696,0.0,0.0
0.1928,0.0167,0.1762,0.0,0.0
0.1899,0.0,0.1838,0.0055,0.0
0.1894,0.0057,0.1837,0.0,0.0
0.1955,0.012,0.1791,0.0044,0.0
0.19,0.0156,0.1729,0.0015,0.0
0.1715,0.0,0.1715,0.0,0.0
0.1843,0.0,0.1819,0.0,0.0
0.2015,0.005,0.1725,0.0174,0.0005
0.1787,0.006,0.1726,0.0,0.0
0.1771,0.0024,0.1701,0.0,0.0
0.2079,0.025,0.1787,0.0042,0.0
0.1783,0.0045,0.1609,0.0129,0.0
0.176,0.0,0.176,0.0,0.0
0.1695,0.0,0.1695,0.0,0.0
0.2035,0.008,0.1852,0.0056,0.0
0.1842,0.0,0.1745,0.0,0.0
0.1585,0.0,0.1506,0.0,0.0
0.2709,0.0036,0.2029,0.0,0.0143
0.1947,0.0079,0.1837,0.0,0.0
0.1756,0.0152,0.1604,0.0,0.0
0.1835,0.0089,0.1715,0.0,0.0
0.1746,0.0162,0.1584,0.0,0.0
0.2037,0.0174,0.1863,0.0,0.0
0.1828,0.0025,0.1737,0.0,0.0
0.183,0.0011,0.1769,0.0,0.0
0.178,0.0124,0.1656,0.0,0.0
0.1926,0.0,0.1926,0.0,0.0
0.1889,0.0,0.1826,0.0005,0.0
0.1846,0.0082,0.1689,0.0,0.0
0.1851,0.01,0.1685,0.0,0.0
0.185,0.0053,0.1771,0.0,0.0
0.1787,0.0,0.1742,0.0,0.0
0.189,0.0101,0.1789,0.0,0.0
0.1732,0.0068,0.1626,0.0,0.0
0.1861,0.013,0.1586,0.0,0.0146
0.1908,0.0066,0.1668,0.0,0.0162
0.1835,0.0075,0.1759,0.0,0.0
0.1773,0.0114,0.166,0.0,0.0
0.203,0.011,0.1878,0.0042,0.0
0.1932,0.0141,0.1651,0.014,0.0
0.1957,0.0157,0.174,0.006,0.0
0.1946,0.0117,0.1731,0.0098,0.0
0.1996,0.0038,0.1702,0.0,0.0125
0.1663,0.0096,0.1567,0.0,0.0
0.1926,0.0085,0.1693,0.0115,0.0
0.1867,0.0165,0.1702,0.0,0.0
0.1967,0.0065,0.1836,0.0065,0.0
0.1801,0.0115,0.1686,0.0,0.0
0.1955,0.0161,0.175,0.0044,0.0
0.2001,0.0154,0.181,0.0031,0.0005
0.1909,0.0055,0.1805,0.0,0.0
0.183,0.0066,0.1765,0.0,0.0
0.2077,0.0,0.205,0.0022,0.0005
0.187,0.0,0.1844,0.0026,0.0
0.19,0.0,0.1845,0.0,0.0
0.1918,0.0016,0.1755,0.0,0.0115
0.1733,0.0,0.1733,0.0,0.0
0.2098,0.0,0.2035,0.0,0.0
0.1822,0.0084,0.1683,0.0,0.0
0.2009,0.0026,0.1843,0.0,0.0
0.1892,0.0066,0.1826,0.0,0.0
0.1951,0.0113,0.1832,0.0,0.0
0.1725,0.0096,0.1629,0.0,0.0
0.1736,0.0156,0.158,0.0,0.0
0.1874,0.012,0.1753,0.0,0.0
0.1838,0.0,0.1682,0.0156,0.0
0.1828,0.0168,0.1661,0.0,0.0
0.1824,0.0189,0.1636,0.0,0.0
0.1894,0.0,0.1738,0.0,0.0
0.1898,0.0,0.1898,0.0,0.0
0.1878,0.0055,0.1662,0.0,0.0
0.2679,0.0,0.2539,0.0076,0.0063
0.2051,0.0098,0.1803,0.015,0.0
0.1916,0.0,0.1916,0.0,0.0
0.197,0.0,0.1833,0.0046,0.0
0.1745,0.0,0.1745,0.0,0.0
0.2073,0.0159,0.1793,0.0122,0.0
0.1829,0.004,0.1743,0.0015,0.0
0.1804,0.0056,0.1641,0.0,0.0
0.1836,0.013,0.1706,0.0,0.0
0.1824,0.0075,0.1749,0.0,0.0
0.1748,0.007,0.1522,0.0156,0.0
0.1984,0.0,0.1874,0.011,0.0
0.1849,0.0152,0.1697,0.0,0.0
0.228,0.0173,0.1975,0.0072,0.0
0.1868,0.0,0.1788,0.0,0.0
0.189,0.0166,0.1724,0.0,0.0
0.1888,0.002,0.1805,0.003,0.0
0.1547,0.0,0.1547,0.0,0.0
0.2804,0.001,0.2212,0.0,0.0
0.1873,0.0131,0.1741,0.0,0.0
0.1753,0.0,0.1718,0.0,0.0
0.1889,0.0065,0.1824,0.0,0.0
0.1592,0.0045,0.1431,0.0,0.0
0.2321,0.01,0.1934,0.0158,0.0
0.1733,0.0,0.1727,0.0,0.0
0.1744,0.0,0.158,0.0,0.0
0.1894,0.0035,0.1858,0.0,0.0
0.1885,0.0156,0.1572,0.0156,0.0
0.1889,0.0135,0.1754,0.0,0.0
0.1839,0.0,0.1739,0.0,0.0
0.1959,0.0,0.1893,0.0,0.0065
0.1865,0.0,0.1709,0.0156,0.0
0.1677,0.0095,0.1581,0.0,0.0
0.1849,0.0131,0.1663,0.0,0.0055
0.2039,0.0137,0.1715,0.0,0.014
0.191,0.0,0.1752,0.0141,0.0
