total,text,img,nodenum,concat
0.1971,0.0226,0.125,0.0087,0.0313
0.1053,0.0083,0.0917,0.0023,0.0
0.112,0.005,0.101,0.001,0.001
0.118,0.0085,0.1032,0.003,0.0
0.1194,0.01,0.1024,0.002,0.0
0.1057,0.007,0.0927,0.001,0.001
0.111,0.0046,0.1014,0.001,0.0
0.1083,0.006,0.0983,0.001,0.001
0.1207,0.006,0.1088,0.002,0.0
0.1099,0.005,0.0999,0.001,0.001
0.1691,0.005,0.1611,0.001,0.0
0.1023,0.0054,0.0928,0.001,0.001
0.1085,0.0045,0.1016,0.001,0.0
0.1023,0.006,0.0933,0.002,0.0
0.1072,0.006,0.0982,0.001,0.0
0.1076,0.0071,0.0965,0.002,0.0
0.114,0.003,0.106,0.001,0.0
0.0993,0.006,0.089,0.002,0.0
0.1129,0.008,0.0988,0.001,0.001
0.1127,0.008,0.0969,0.003,0.001
0.1002,0.0057,0.0911,0.001,0.0
0.1059,0.006,0.0939,0.002,0.0
0.1051,0.005,0.0961,0.001,0.0
0.1045,0.0054,0.096,0.001,0.0
0.0967,0.006,0.0877,0.001,0.001
0.0993,0.004,0.091,0.001,0.0
0.0915,0.006,0.0815,0.002,0.0
0.115,0.01,0.101,0.001,0.0
0.116,0.0074,0.1037,0.0019,0.0
0.0972,0.0055,0.0867,0.001,0.0
0.0903,0.0048,0.0835,0.001,0.0
0.1058,0.005,0.0967,0.002,0.0
0.101,0.004,0.092,0.0015,0.001
0.114,0.006,0.103,0.002,0.0
0.1034,0.006,0.0929,0.002,0.0
0.0935,0.004,0.0865,0.001,0.0
0.0943,0.0045,0.0869,0.001,0.0
0.1026,0.0082,0.0904,0.002,0.0
0.0986,0.005,0.0905,0.001,0.001
0.1003,0.0054,0.0912,0.001,0.0
0.0999,0.006,0.0889,0.002,0.0
0.1185,0.004,0.1095,0.001,0.001
0.1233,0.006,0.1143,0.001,0.0
0.1402,0.01,0.125,0.003,0.0
0.1484,0.005,0.1404,0.001,0.0
0.1443,0.01,0.1302,0.001,0.0
0.1871,0.01,0.1727,0.0014,0.0
0.1342,0.006,0.1242,0.001,0.001
0.1196,0.006,0.1106,0.001,0.0
0.1336,0.008,0.1215,0.0011,0.001
0.1119,0.005,0.1039,0.001,0.0
0.1481,0.0104,0.1277,0.003,0.001
0.1346,0.008,0.1236,0.001,0.0
0.1855,0.009,0.1715,0.002,0.0
0.1936,0.011,0.1746,0.004,0.0
0.1366,0.0065,0.1248,0.002,0.0
0.1309,0.009,0.1159,0.001,0.001
0.1161,0.0065,0.1035,0.002,0.0
0.1219,0.006,0.1109,0.002,0.0
0.1189,0.0061,0.1078,0.001,0.0
0.138,0.006,0.1271,0.001,0.0
0.1587,0.009,0.1457,0.002,0.0
0.1557,0.005,0.1457,0.002,0.0
0.1496,0.007,0.1374,0.002,0.0
0.1299,0.012,0.1119,0.001,0.001
0.113,0.006,0.1025,0.0015,0.0
0.1092,0.008,0.0962,0.002,0.0
0.1195,0.006,0.1105,0.001,0.0
0.1338,0.008,0.1208,0.001,0.001
0.1362,0.007,0.1241,0.0016,0.0005
0.1121,0.005,0.1051,0.001,0.0
0.1367,0.005,0.1277,0.001,0.001
0.1389,0.011,0.1213,0.001,0.001
0.1205,0.006,0.1105,0.001,0.0
0.0943,0.004,0.0863,0.001,0.001
0.0982,0.004,0.0912,0.001,0.0
0.1159,0.0052,0.1066,0.002,0.0
0.1247,0.0055,0.1152,0.001,0.001
0.1172,0.0064,0.1058,0.001,0.0
0.1035,0.009,0.0895,0.002,0.0
0.1185,0.005,0.1105,0.001,0.0
0.1186,0.008,0.1056,0.002,0.0
0.1261,0.007,0.1161,0.001,0.0
0.1409,0.0085,0.128,0.001,0.0
0.1216,0.006,0.1106,0.002,0.0
0.1252,0.004,0.1172,0.001,0.0
0.1158,0.0092,0.1025,0.001,0.001
0.1395,0.0049,0.1298,0.002,0.0
0.1363,0.0195,0.1018,0.005,0.002
0.1265,0.004,0.1185,0.002,0.0
0.1096,0.007,0.0976,0.001,0.001
0.123,0.005,0.1139,0.001,0.001
0.1253,0.0115,0.1077,0.002,0.001
0.1291,0.006,0.1181,0.002,0.0
0.1154,0.007,0.1024,0.002,0.0
0.1134,0.0054,0.102,0.001,0.001
0.1193,0.006,0.1103,0.001,0.0
0.1175,0.006,0.1075,0.001,0.0
0.2017,0.0115,0.1862,0.001,0.0
0.19,0.0136,0.1704,0.002,0.0
0.2619,0.0128,0.2421,0.002,0.001
0.1469,0.0063,0.1336,0.002,0.001
0.1591,0.009,0.1415,0.0014,0.001
0.1846,0.011,0.1676,0.003,0.0
0.1835,0.0108,0.1657,0.002,0.001
0.1788,0.01,0.1618,0.001,0.001
0.2042,0.0087,0.1916,0.002,0.0
0.157,0.006,0.1444,0.0022,0.0
0.1525,0.009,0.1387,0.0009,0.0
0.1779,0.0083,0.1624,0.0031,0.0
0.1332,0.0081,0.1216,0.002,0.0
0.1329,0.01,0.1149,0.002,0.001
0.1299,0.008,0.1159,0.0019,0.0
0.1145,0.004,0.1065,0.002,0.0
0.1621,0.007,0.1481,0.0021,0.0
0.1337,0.005,0.1236,0.0021,0.0
0.1813,0.009,0.1663,0.0029,0.0
0.1274,0.01,0.1114,0.002,0.001
0.152,0.01,0.1375,0.001,0.001
0.1333,0.009,0.1182,0.0021,0.0
0.1274,0.009,0.1124,0.002,0.0
0.1061,0.004,0.0991,0.001,0.0
0.1415,0.008,0.1295,0.001,0.0
0.1101,0.009,0.0971,0.001,0.0
0.1096,0.005,0.1006,0.002,0.0
0.1211,0.0076,0.1096,0.001,0.001
0.1143,0.005,0.1053,0.001,0.001
0.125,0.011,0.1082,0.0019,0.0
0.1333,0.011,0.1153,0.002,0.0
0.1522,0.009,0.1362,0.001,0.0
0.1138,0.006,0.1027,0.0011,0.001
0.116,0.0065,0.1045,0.001,0.0
0.1123,0.006,0.1024,0.0009,0.0
0.1395,0.008,0.1265,0.001,0.0
0.1605,0.005,0.1505,0.002,0.0
0.1182,0.006,0.1092,0.001,0.0
0.0986,0.004,0.0916,0.001,0.0
0.1165,0.006,0.1065,0.001,0.0
0.1155,0.005,0.1075,0.001,0.0
0.1346,0.015,0.1116,0.002,0.0
0.1071,0.0042,0.0991,0.001,0.0
0.1526,0.005,0.1426,0.002,0.001
0.1147,0.004,0.1077,0.001,0.0
0.0895,0.004,0.0815,0.001,0.001
0.1426,0.008,0.1287,0.002,0.0
0.1136,0.006,0.102,0.002,0.0
0.1058,0.004,0.0978,0.001,0.001
0.1035,0.006,0.0935,0.001,0.0
0.1068,0.0062,0.0955,0.0011,0.0
0.1205,0.0061,0.1114,0.001,0.0
0.1091,0.0061,0.1,0.001,0.0
0.1113,0.005,0.1023,0.001,0.0
0.1081,0.0035,0.1016,0.001,0.0
0.116,0.0055,0.1055,0.001,0.001
0.1117,0.005,0.1026,0.001,0.0
0.1223,0.0095,0.1048,0.001,0.001
0.1066,0.004,0.1006,0.001,0.0
0.1254,0.015,0.1035,0.001,0.0
0.1131,0.008,0.0986,0.001,0.001
0.1099,0.004,0.1008,0.002,0.0
0.1118,0.005,0.1042,0.001,0.0
0.109,0.0056,0.1002,0.0011,0.0
0.1076,0.0051,0.0995,0.001,0.0
0.109,0.005,0.101,0.001,0.0
0.1066,0.0041,0.0985,0.001,0.001
0.1089,0.0051,0.1008,0.001,0.0
0.1104,0.0051,0.1018,0.001,0.0
0.1106,0.005,0.1016,0.001,0.0
