duration_seconds,epoch
0.2264,0
0.179,0
0.169,0
0.1806,0
0.1521,0
0.1661,0
0.1531,0
0.1579,0
0.1826,0
0.1861,0
0.1555,0
0.1651,0
0.196,0
0.1896,0
0.1846,0
0.1637,0
0.1721,0
0.169,0
0.1688,0
0.1641,0
0.1725,0
0.1602,0
0.1421,0
0.1335,0
0.1873,0
0.1831,0
0.1716,0
0.1655,0
0.188,0
0.1885,0
0.173,0
0.1565,0
0.1924,0
0.1687,0
0.2013,0
0.168,0
0.1782,0
0.1645,0
0.18,0
0.17,0
0.2046,0
0.1893,0
0.1698,0
0.1857,0
0.1951,0
0.1689,0
0.1771,0
0.1461,0
0.1999,0
0.2,0
0.1981,0
0.1461,0
0.188,0
0.1545,0
0.1491,0
0.1714,0
0.1665,0
0.168,0
0.1644,0
0.1724,0
0.1812,0
0.1573,0
0.1714,0
0.1705,0
0.1842,0
0.1592,0
0.2011,0
0.1565,0
0.1745,0
0.175,0
0.1591,0
0.173,0
0.1933,0
0.1845,0
0.171,0
0.1828,0
0.1656,0
0.1885,0
0.1736,0
0.1711,0
0.1781,0
0.1703,0
0.18,0
0.1864,0
0.1857,0
0.1801,0
0.1615,0
0.163,0
0.1668,0
0.201,0
0.1671,0
0.1845,0
0.1651,0
0.1593,0
0.182,0
0.1846,0
0.198,0
0.1891,0
0.167,0
0.1735,0
0.2481,0
0.2076,0
0.182,0
0.2259,0
0.1866,0
0.2172,0
0.2256,0
0.2286,0
0.189,0
0.215,0
0.198,0
0.203,0
0.2185,0
0.209,0
0.2374,0
0.2353,0
0.222,0
0.2187,0
0.2061,0
0.2181,0
0.2201,0
0.2231,0
0.2085,0
0.1781,0
0.213,0
0.1831,0
0.2095,0
0.2234,0
0.1899,0
0.1961,0
0.2074,0
0.2251,0
0.1838,0
0.2053,0
0.2314,0
0.234,0
0.2092,0
0.1996,0
0.2151,0
0.195,0
0.175,0
0.2005,0
0.1561,0
0.1365,0
0.1653,1
0.1635,1
0.179,1
0.19,1
0.2065,1
0.1812,1
0.1761,1
0.1587,1
0.1724,1
0.1626,1
0.1705,1
0.1407,1
0.1566,1
0.1622,1
0.165,1
0.1752,1
0.1565,1
0.163,1
0.2041,1
0.2145,1
0.2093,1
0.2191,1
0.2153,1
0.1815,1
0.1981,1
0.2366,1
0.2246,1
0.1951,1
0.1775,1
0.1922,1
0.2021,1
0.2031,1
0.2305,1
0.1811,1
0.2006,1
0.2131,1
0.1993,1
0.2096,1
0.2324,1
0.1991,1
0.1981,1
0.1941,1
0.2065,1
0.1865,1
0.2003,1
0.2198,1
0.164,1
0.1666,1
0.2099,1
0.2082,1
0.1925,1
0.1775,1
0.1991,1
0.2342,1
0.1933,1
0.1794,1
0.1795,1
0.187,1
0.1701,1
0.1729,1
0.2531,1
0.203,1
0.2021,1
0.2087,1
0.2079,1
0.1963,1
0.1962,1
0.235,1
0.174,1
0.2273,1
0.2154,1
0.1831,1
0.2366,1
0.1918,1
0.17,1
0.1994,1
0.1741,1
0.175,1
0.2012,1
0.1645,1
0.1967,1
0.2197,1
0.204,1
0.1918,1
0.195,1
0.2084,1
0.2311,1
0.1947,1
0.1741,1
0.1701,1
0.1795,1
0.2209,1
0.1765,1
0.2211,1
0.19,1
0.173,1
0.1943,1
0.1711,1
0.1741,1
0.182,1
0.1755,1
0.2131,1
0.2066,1
0.1971,1
0.1921,1
0.1955,1
0.1867,1
0.1815,1
0.1757,1
0.2172,1
0.1847,1
0.1822,1
0.2011,1
0.1943,1
0.2092,1
0.1964,1
0.1975,1
0.2104,1
0.16,1
0.1915,1
0.1838,1
0.2074,1
0.1765,1
0.178,1
0.2122,1
0.1798,1
0.1851,1
0.2136,1
0.189,1
0.1845,1
0.1931,1
0.1826,1
0.1841,1
0.193,1
0.176,1
0.2278,1
0.2446,1
0.2094,1
0.1991,1
0.2194,1
0.1741,1
0.163,1
0.184,1
0.141,1
0.1876,2
0.1907,2
0.185,2
0.1992,2
0.1951,2
0.1886,2
0.176,2
0.1933,2
0.2134,2
0.1565,2
0.1867,2
0.1989,2
0.2074,2
0.2109,2
0.2523,2
0.2326,2
0.2161,2
0.1831,2
0.2051,2
0.2278,2
0.2231,2
0.1931,2
0.2041,2
0.237,2
0.2651,2
0.2952,2
0.2442,2
0.2337,2
0.2264,2
0.2085,2
0.1921,2
0.2196,2
0.1967,2
0.2318,2
0.1679,2
0.2071,2
0.2031,2
0.21,2
0.2471,2
0.1901,2
0.19,2
0.2021,2
0.192,2
0.2039,2
0.2314,2
0.1917,2
0.2164,2
0.2104,2
0.2183,2
0.1815,2
0.1671,2
0.2053,2
0.1921,2
0.2073,2
0.199,2
0.229,2
0.1912,2
0.198,2
0.2476,2
0.2061,2
0.2082,2
0.2131,2
0.2227,2
0.2344,2
0.2087,2
0.1815,2
0.1872,2
0.188,2
0.1679,2
0.2322,2
0.2257,2
0.2343,2
0.1831,2
0.2196,2
0.2179,2
0.187,2
0.2071,2
0.1948,2
0.2055,2
0.1981,2
0.181,2
0.183,2
0.191,2
0.1721,2
0.2182,2
0.1941,2
0.1606,2
0.1987,2
0.2,2
0.1805,2
0.1861,2
0.191,2
0.171,2
0.1833,2
0.1846,2
0.1701,2
0.179,2
0.2001,2
0.1984,2
0.1951,2
0.1681,2
0.1873,2
0.19,2
0.1784,2
0.1991,2
0.1891,2
0.2209,2
0.2211,2
0.1951,2
0.18,2
0.184,2
0.1881,2
0.1785,2
0.1701,2
0.193,2
0.2154,2
0.1891,2
0.1881,2
0.2014,2
0.2366,2
0.2124,2
0.1963,2
0.1891,2
0.1735,2
0.225,2
0.204,2
0.1851,2
0.2151,2
0.2088,2
0.1715,2
0.2105,2
0.1933,2
0.196,2
0.1646,2
0.191,2
0.2226,2
0.1725,2
0.2033,2
0.195,2
0.2176,2
0.1755,2
0.1611,2
0.1769,2
0.1315,2
0.1986,3
0.2051,3
0.1748,3
0.167,3
0.1422,3
0.1465,3
0.1781,3
0.1528,3
0.1663,3
0.1736,3
0.1695,3
0.1555,3
0.1781,3
0.1711,3
0.1906,3
0.1818,3
0.1701,3
0.1707,3
0.1732,3
0.181,3
0.1908,3
0.2197,3
0.2042,3
0.1802,3
0.161,3
0.1812,3
0.2631,3
0.2279,3
0.1807,3
0.2315,3
0.193,3
0.1675,3
0.2133,3
0.1922,3
0.2181,3
0.2201,3
0.1701,3
0.1841,3
0.177,3
0.1831,3
0.2221,3
0.2084,3
0.2115,3
0.187,3
0.1699,3
0.2131,3
0.191,3
0.23,3
0.1825,3
0.1664,3
0.1926,3
0.1655,3
0.2032,3
0.2211,3
0.213,3
0.1949,3
0.1921,3
0.1762,3
0.1711,3
0.1861,3
0.178,3
0.2133,3
0.158,3
0.1941,3
0.2085,3
0.1812,3
0.1902,3
0.2028,3
0.1964,3
0.1872,3
0.1775,3
0.2352,3
0.2132,3
0.2195,3
0.1763,3
0.207,3
0.2101,3
0.1711,3
0.186,3
0.1921,3
0.2286,3
0.2092,3
0.1871,3
0.1886,3
0.2156,3
0.19,3
0.1912,3
0.1636,3
0.2072,3
0.2086,3
0.1883,3
0.1963,3
0.1911,3
0.2141,3
0.1967,3
0.1632,3
0.225,3
0.1637,3
0.1845,3
0.2073,3
0.1991,3
0.2025,3
0.1997,3
0.1951,3
0.2118,3
0.1795,3
0.2021,3
0.2273,3
0.1742,3
0.1855,3
0.1756,3
0.1856,3
0.1944,3
0.1904,3
0.1801,3
0.1952,3
0.185,3
0.1941,3
0.215,3
0.1922,3
0.1812,3
0.1961,3
0.2025,3
0.1761,3
0.1911,3
0.1935,3
0.2076,3
0.2197,3
0.1881,3
0.2042,3
0.1984,3
0.1721,3
0.193,3
0.2021,3
0.1645,3
0.2105,3
0.2138,3
0.2143,3
0.1802,3
0.1715,3
0.2258,3
0.1698,3
0.2141,3
0.1371,3
0.1465,4
0.18,4
0.1589,4
0.1565,4
0.181,4
0.1421,4
0.17,4
0.1751,4
0.154,4
0.1868,4
0.213,4
0.2231,4
0.1682,4
0.1932,4
0.1585,4
0.202,4
0.181,4
0.178,4
0.165,4
0.1745,4
0.2021,4
0.1615,4
0.1807,4
0.208,4
0.2,4
0.2104,4
0.2111,4
0.2105,4
0.223,4
0.2431,4
0.1991,4
0.1967,4
0.1991,4
0.2091,4
0.196,4
0.2126,4
0.1845,4
0.193,4
0.2,4
0.2066,4
0.204,4
0.2031,4
0.2268,4
0.201,4
0.189,4
0.2092,4
0.234,4
0.202,4
0.188,4
0.1733,4
0.1805,4
0.2026,4
0.2072,4
0.207,4
0.176,4
0.205,4
0.194,4
0.197,4
0.171,4
0.193,4
0.2071,4
0.191,4
0.2278,4
0.1814,4
0.1691,4
0.212,4
0.1655,4
0.1669,4
0.1981,4
0.177,4
0.182,4
0.247,4
0.1811,4
0.2311,4
0.1695,4
0.2436,4
0.1911,4
0.2145,4
0.222,4
0.195,4
0.2593,4
0.1645,4
0.2376,4
0.1986,4
0.179,4
0.1899,4
0.1745,4
0.1833,4
0.1977,4
0.206,4
0.2051,4
0.1761,4
0.1851,4
0.229,4
0.2077,4
0.2106,4
0.2222,4
0.181,4
0.189,4
0.1865,4
0.2326,4
0.2138,4
0.1694,4
0.1961,4
0.2022,4
0.1891,4
0.1765,4
0.1833,4
0.2091,4
0.186,4
0.1931,4
0.2113,4
0.2226,4
0.2111,4
0.1635,4
0.2206,4
0.1714,4
0.1911,4
0.197,4
0.182,4
0.2101,4
0.179,4
0.163,4
0.2156,4
0.161,4
0.1685,4
0.2197,4
0.218,4
0.19,4
0.2131,4
0.175,4
0.207,4
0.211,4
0.208,4
0.1821,4
0.228,4
0.2264,4
0.162,4
0.1831,4
0.1791,4
0.1711,4
0.1906,4
0.19,4
0.1281,4
